{'in_mst': 0.6882025795763815, 'score': 0.6882025795763815, 'examples_seen': 371859, 'step': 8750, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6981611601136194, 'score': 0.6981611601136194, 'examples_seen': 373835, 'step': 8800, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.540983606557377, 'score': 0.540983606557377, 'examples_seen': 376153, 'step': 8850, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6186963721210297, 'score': 0.6186963721210297, 'examples_seen': 378053, 'step': 8900, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7231134878193702, 'score': 0.7231134878193702, 'examples_seen': 380454, 'step': 8950, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6616474756421612, 'score': 0.6616474756421612, 'examples_seen': 382224, 'step': 9000, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.4780807732136693, 'score': 0.4780807732136693, 'examples_seen': 384588, 'step': 9050, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6202777777777778, 'score': 0.6202777777777778, 'examples_seen': 386774, 'step': 9100, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6022521896288058, 'score': 0.6022521896288058, 'examples_seen': 388761, 'step': 9150, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7111111111111111, 'score': 0.7111111111111111, 'examples_seen': 391073, 'step': 9200, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6453591606133978, 'score': 0.6453591606133978, 'examples_seen': 392887, 'step': 9250, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7393593021506994, 'score': 0.7393593021506994, 'examples_seen': 395303, 'step': 9300, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.54766201804758, 'score': 0.54766201804758, 'examples_seen': 397128, 'step': 9350, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7035321366531558, 'score': 0.7035321366531558, 'examples_seen': 399474, 'step': 9400, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6399528579846788, 'score': 0.6399528579846788, 'examples_seen': 401683, 'step': 9450, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.68390452876377, 'score': 0.68390452876377, 'examples_seen': 403623, 'step': 9500, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5849744711889132, 'score': 0.5849744711889132, 'examples_seen': 405923, 'step': 9550, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5301754385964912, 'score': 0.5301754385964912, 'examples_seen': 407788, 'step': 9600, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6446308172997862, 'score': 0.6446308172997862, 'examples_seen': 410178, 'step': 9650, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6716741779335671, 'score': 0.6716741779335671, 'examples_seen': 411990, 'step': 9700, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.8253256758649671, 'score': 0.8253256758649671, 'examples_seen': 414334, 'step': 9750, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.752019144481005, 'score': 0.752019144481005, 'examples_seen': 416537, 'step': 9800, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6954820348630381, 'score': 0.6954820348630381, 'examples_seen': 418478, 'step': 9850, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6246369383222279, 'score': 0.6246369383222279, 'examples_seen': 420819, 'step': 9900, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5287388392857143, 'score': 0.5287388392857143, 'examples_seen': 422632, 'step': 9950, 'algorithm': 'mst_kruskal'},
