{'intersect': 0.9109518935516888, 'score': 0.9109518935516888, 'examples_seen': 424880, 'step': 8300, 'algorithm': 'segments_intersect'},
{'intersect': 0.9263862332695985, 'score': 0.9263862332695985, 'examples_seen': 427504, 'step': 8350, 'algorithm': 'segments_intersect'},
{'intersect': 0.9216703731158884, 'score': 0.9216703731158884, 'examples_seen': 430128, 'step': 8400, 'algorithm': 'segments_intersect'},
{'intersect': 0.9164102564102564, 'score': 0.9164102564102564, 'examples_seen': 432688, 'step': 8450, 'algorithm': 'segments_intersect'},
{'intersect': 0.9078197824961161, 'score': 0.9078197824961161, 'examples_seen': 435152, 'step': 8500, 'algorithm': 'segments_intersect'},
{'intersect': 0.8895899053627759, 'score': 0.8895899053627759, 'examples_seen': 437776, 'step': 8550, 'algorithm': 'segments_intersect'},
{'intersect': 0.9308560677328317, 'score': 0.9308560677328317, 'examples_seen': 440400, 'step': 8600, 'algorithm': 'segments_intersect'},
{'intersect': 0.9171640009548818, 'score': 0.9171640009548818, 'examples_seen': 442800, 'step': 8650, 'algorithm': 'segments_intersect'},
{'intersect': 0.9303175691112634, 'score': 0.9303175691112634, 'examples_seen': 445424, 'step': 8700, 'algorithm': 'segments_intersect'},
{'intersect': 0.9167989118113806, 'score': 0.9167989118113806, 'examples_seen': 448048, 'step': 8750, 'algorithm': 'segments_intersect'},
{'intersect': 0.917359413202934, 'score': 0.917359413202934, 'examples_seen': 450608, 'step': 8800, 'algorithm': 'segments_intersect'},
{'intersect': 0.928916827852998, 'score': 0.928916827852998, 'examples_seen': 453072, 'step': 8850, 'algorithm': 'segments_intersect'},
{'intersect': 0.9145704793545326, 'score': 0.9145704793545326, 'examples_seen': 455696, 'step': 8900, 'algorithm': 'segments_intersect'},
{'intersect': 0.9228061352778476, 'score': 0.9228061352778476, 'examples_seen': 458320, 'step': 8950, 'algorithm': 'segments_intersect'},
{'intersect': 0.9103128621089224, 'score': 0.9103128621089224, 'examples_seen': 460720, 'step': 9000, 'algorithm': 'segments_intersect'},
{'intersect': 0.8555555555555555, 'score': 0.8555555555555555, 'examples_seen': 463344, 'step': 9050, 'algorithm': 'segments_intersect'},
{'intersect': 0.9156159068865178, 'score': 0.9156159068865178, 'examples_seen': 465968, 'step': 9100, 'algorithm': 'segments_intersect'},
{'intersect': 0.9110944152266466, 'score': 0.9110944152266466, 'examples_seen': 468528, 'step': 9150, 'algorithm': 'segments_intersect'},
{'intersect': 0.8179723502304148, 'score': 0.8179723502304148, 'examples_seen': 470992, 'step': 9200, 'algorithm': 'segments_intersect'},
