I0715 15:41:37.496818 131537578350080 run.py:723] (val) algo insertion_sort step 5500: {'pred': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 282864, 'step': 5500, 'algorithm': 'insertion_sort'}
I0715 15:41:42.167345 131537578350080 run.py:723] (val) algo insertion_sort step 5550: {'pred': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 285504, 'step': 5550, 'algorithm': 'insertion_sort'}
I0715 15:41:46.866820 131537578350080 run.py:723] (val) algo insertion_sort step 5600: {'pred': 0.91796875, 'score': 0.91796875, 'examples_seen': 288128, 'step': 5600, 'algorithm': 'insertion_sort'}
I0715 15:41:51.396440 131537578350080 run.py:723] (val) algo insertion_sort step 5650: {'pred': 0.9072265625, 'score': 0.9072265625, 'examples_seen': 290688, 'step': 5650, 'algorithm': 'insertion_sort'}
I0715 15:41:55.945941 131537578350080 run.py:723] (val) algo insertion_sort step 5700: {'pred': 0.9228515625, 'score': 0.9228515625, 'examples_seen': 293280, 'step': 5700, 'algorithm': 'insertion_sort'}
I0715 15:42:00.514383 131537578350080 run.py:723] (val) algo insertion_sort step 5750: {'pred': 0.943359375, 'score': 0.943359375, 'examples_seen': 295808, 'step': 5750, 'algorithm': 'insertion_sort'}
I0715 15:42:05.065392 131537578350080 run.py:723] (val) algo insertion_sort step 5800: {'pred': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 298352, 'step': 5800, 'algorithm': 'insertion_sort'}
I0715 15:42:09.567459 131537578350080 run.py:723] (val) algo insertion_sort step 5850: {'pred': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 300896, 'step': 5850, 'algorithm': 'insertion_sort'}
I0715 15:42:14.204833 131537578350080 run.py:723] (val) algo insertion_sort step 5900: {'pred': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 303520, 'step': 5900, 'algorithm': 'insertion_sort'}
I0715 15:42:18.787944 131537578350080 run.py:723] (val) algo insertion_sort step 5950: {'pred': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 306144, 'step': 5950, 'algorithm': 'insertion_sort'}
I0715 15:42:23.308455 131537578350080 run.py:723] (val) algo insertion_sort step 6000: {'pred': 0.9345703125, 'score': 0.9345703125, 'examples_seen': 308720, 'step': 6000, 'algorithm': 'insertion_sort'}
I0715 15:42:27.848492 131537578350080 run.py:723] (val) algo insertion_sort step 6050: {'pred': 0.95703125, 'score': 0.95703125, 'examples_seen': 311264, 'step': 6050, 'algorithm': 'insertion_sort'}
I0715 15:42:32.352304 131537578350080 run.py:723] (val) algo insertion_sort step 6100: {'pred': 0.953125, 'score': 0.953125, 'examples_seen': 313808, 'step': 6100, 'algorithm': 'insertion_sort'}
I0715 15:42:36.895437 131537578350080 run.py:723] (val) algo insertion_sort step 6150: {'pred': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 316368, 'step': 6150, 'algorithm': 'insertion_sort'}
I0715 15:42:41.455810 131537578350080 run.py:723] (val) algo insertion_sort step 6200: {'pred': 0.92578125, 'score': 0.92578125, 'examples_seen': 318880, 'step': 6200, 'algorithm': 'insertion_sort'}
I0715 15:42:46.082728 131537578350080 run.py:723] (val) algo insertion_sort step 6250: {'pred': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 321536, 'step': 6250, 'algorithm': 'insertion_sort'}
I0715 15:42:50.727839 131537578350080 run.py:723] (val) algo insertion_sort step 6300: {'pred': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 324128, 'step': 6300, 'algorithm': 'insertion_sort'}
I0715 15:42:55.288893 131537578350080 run.py:723] (val) algo insertion_sort step 6350: {'pred': 0.953125, 'score': 0.953125, 'examples_seen': 326704, 'step': 6350, 'algorithm': 'insertion_sort'}
I0715 15:42:59.870522 131537578350080 run.py:723] (val) algo insertion_sort step 6400: {'pred': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 329264, 'step': 6400, 'algorithm': 'insertion_sort'}
I0715 15:43:04.443696 131537578350080 run.py:723] (val) algo insertion_sort step 6450: {'pred': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 331792, 'step': 6450, 'algorithm': 'insertion_sort'}
I0715 15:43:08.940204 131537578350080 run.py:723] (val) algo insertion_sort step 6500: {'pred': 0.95703125, 'score': 0.95703125, 'examples_seen': 334352, 'step': 6500, 'algorithm': 'insertion_sort'}
I0715 15:43:13.435693 131537578350080 run.py:723] (val) algo insertion_sort step 6550: {'pred': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 336880, 'step': 6550, 'algorithm': 'insertion_sort'}
I0715 15:43:18.064532 131537578350080 run.py:723] (val) algo insertion_sort step 6600: {'pred': 0.947265625, 'score': 0.947265625, 'examples_seen': 339520, 'step': 6600, 'algorithm': 'insertion_sort'}
I0715 15:43:22.630874 131537578350080 run.py:723] (val) algo insertion_sort step 6650: {'pred': 0.966796875, 'score': 0.966796875, 'examples_seen': 342144, 'step': 6650, 'algorithm': 'insertion_sort'}
I0715 15:43:27.196847 131537578350080 run.py:723] (val) algo insertion_sort step 6700: {'pred': 0.923828125, 'score': 0.923828125, 'examples_seen': 344704, 'step': 6700, 'algorithm': 'insertion_sort'}
I0715 15:43:31.717561 131537578350080 run.py:723] (val) algo insertion_sort step 6750: {'pred': 0.94921875, 'score': 0.94921875, 'examples_seen': 347280, 'step': 6750, 'algorithm': 'insertion_sort'}
