I0716 17:44:23.075408 124054970734080 run.py:722] (val) algo segments_intersect step 5600: {'intersect': 0.9291949563530553, 'score': 0.9291949563530553, 'examples_seen': 286768, 'step': 5600, 'algorithm': 'segments_intersect'}
I0716 17:44:24.884276 124054970734080 run.py:722] (val) algo segments_intersect step 5650: {'intersect': 0.9347568208778173, 'score': 0.9347568208778173, 'examples_seen': 289280, 'step': 5650, 'algorithm': 'segments_intersect'}
I0716 17:44:26.708117 124054970734080 run.py:722] (val) algo segments_intersect step 5700: {'intersect': 0.9464761443448777, 'score': 0.9464761443448777, 'examples_seen': 291904, 'step': 5700, 'algorithm': 'segments_intersect'}
I0716 17:44:28.538590 124054970734080 run.py:722] (val) algo segments_intersect step 5750: {'intersect': 0.9422066549912436, 'score': 0.9422066549912436, 'examples_seen': 294416, 'step': 5750, 'algorithm': 'segments_intersect'}
I0716 17:44:30.340138 124054970734080 run.py:722] (val) algo segments_intersect step 5800: {'intersect': 0.9487179487179487, 'score': 0.9487179487179487, 'examples_seen': 297024, 'step': 5800, 'algorithm': 'segments_intersect'}
I0716 17:44:32.207715 124054970734080 run.py:722] (val) algo segments_intersect step 5850: {'intersect': 0.9426566658601501, 'score': 0.9426566658601501, 'examples_seen': 299552, 'step': 5850, 'algorithm': 'segments_intersect'}
I0716 17:44:34.024476 124054970734080 run.py:722] (val) algo segments_intersect step 5900: {'intersect': 0.9519321394910462, 'score': 0.9519321394910462, 'examples_seen': 302080, 'step': 5900, 'algorithm': 'segments_intersect'}
I0716 17:44:35.878975 124054970734080 run.py:722] (val) algo segments_intersect step 5950: {'intersect': 0.9431325301204819, 'score': 0.9431325301204819, 'examples_seen': 304688, 'step': 5950, 'algorithm': 'segments_intersect'}
I0716 17:44:37.703018 124054970734080 run.py:722] (val) algo segments_intersect step 6000: {'intersect': 0.9358380092705538, 'score': 0.9358380092705538, 'examples_seen': 307200, 'step': 6000, 'algorithm': 'segments_intersect'}
I0716 17:44:39.535768 124054970734080 run.py:722] (val) algo segments_intersect step 6050: {'intersect': 0.9412345679012346, 'score': 0.9412345679012346, 'examples_seen': 309824, 'step': 6050, 'algorithm': 'segments_intersect'}
I0716 17:44:41.388576 124054970734080 run.py:722] (val) algo segments_intersect step 6100: {'intersect': 0.9505189476224958, 'score': 0.9505189476224958, 'examples_seen': 312336, 'step': 6100, 'algorithm': 'segments_intersect'}
I0716 17:44:43.190247 124054970734080 run.py:722] (val) algo segments_intersect step 6150: {'intersect': 0.9465723347157843, 'score': 0.9465723347157843, 'examples_seen': 314944, 'step': 6150, 'algorithm': 'segments_intersect'}
I0716 17:44:45.009402 124054970734080 run.py:722] (val) algo segments_intersect step 6200: {'intersect': 0.9295774647887324, 'score': 0.9295774647887324, 'examples_seen': 317472, 'step': 6200, 'algorithm': 'segments_intersect'}
I0716 17:44:46.829027 124054970734080 run.py:722] (val) algo segments_intersect step 6250: {'intersect': 0.9357125397213395, 'score': 0.9357125397213395, 'examples_seen': 320000, 'step': 6250, 'algorithm': 'segments_intersect'}
I0716 17:44:48.663542 124054970734080 run.py:722] (val) algo segments_intersect step 6300: {'intersect': 0.9464816650148663, 'score': 0.9464816650148663, 'examples_seen': 322608, 'step': 6300, 'algorithm': 'segments_intersect'}
I0716 17:44:50.483918 124054970734080 run.py:722] (val) algo segments_intersect step 6350: {'intersect': 0.9507797270955165, 'score': 0.9507797270955165, 'examples_seen': 325120, 'step': 6350, 'algorithm': 'segments_intersect'}
I0716 17:44:52.317351 124054970734080 run.py:722] (val) algo segments_intersect step 6400: {'intersect': 0.954972309174091, 'score': 0.954972309174091, 'examples_seen': 327744, 'step': 6400, 'algorithm': 'segments_intersect'}
