I0716 17:58:48.573608 136905113048576 run.py:722] (val) algo topological_sort step 4950: {'topo': 0.3984375, 'topo_head': 0.984375, 'score': 0.69140625, 'examples_seen': 94444, 'step': 4950, 'algorithm': 'topological_sort'}
I0716 17:58:49.894061 136905113048576 run.py:722] (val) algo topological_sort step 5000: {'topo': 0.4013671875, 'topo_head': 0.9375, 'score': 0.66943359375, 'examples_seen': 95400, 'step': 5000, 'algorithm': 'topological_sort'}
I0716 17:58:51.230772 136905113048576 run.py:722] (val) algo topological_sort step 5050: {'topo': 0.3837890625, 'topo_head': 0.984375, 'score': 0.68408203125, 'examples_seen': 96337, 'step': 5050, 'algorithm': 'topological_sort'}
I0716 17:58:52.589737 136905113048576 run.py:722] (val) algo topological_sort step 5100: {'topo': 0.3515625, 'topo_head': 0.921875, 'score': 0.63671875, 'examples_seen': 97284, 'step': 5100, 'algorithm': 'topological_sort'}
I0716 17:58:53.960403 136905113048576 run.py:722] (val) algo topological_sort step 5150: {'topo': 0.396484375, 'topo_head': 0.984375, 'score': 0.6904296875, 'examples_seen': 98221, 'step': 5150, 'algorithm': 'topological_sort'}
I0716 17:58:55.292493 136905113048576 run.py:722] (val) algo topological_sort step 5200: {'topo': 0.416015625, 'topo_head': 0.96875, 'score': 0.6923828125, 'examples_seen': 99188, 'step': 5200, 'algorithm': 'topological_sort'}
I0716 17:58:56.640807 136905113048576 run.py:722] (val) algo topological_sort step 5250: {'topo': 0.40234375, 'topo_head': 0.984375, 'score': 0.693359375, 'examples_seen': 100164, 'step': 5250, 'algorithm': 'topological_sort'}
I0716 17:58:57.981431 136905113048576 run.py:722] (val) algo topological_sort step 5300: {'topo': 0.4306640625, 'topo_head': 0.984375, 'score': 0.70751953125, 'examples_seen': 101120, 'step': 5300, 'algorithm': 'topological_sort'}
I0716 17:58:59.324567 136905113048576 run.py:722] (val) algo topological_sort step 5350: {'topo': 0.3828125, 'topo_head': 0.96875, 'score': 0.67578125, 'examples_seen': 102068, 'step': 5350, 'algorithm': 'topological_sort'}
I0716 17:59:00.672452 136905113048576 run.py:722] (val) algo topological_sort step 5400: {'topo': 0.3896484375, 'topo_head': 0.953125, 'score': 0.67138671875, 'examples_seen': 103013, 'step': 5400, 'algorithm': 'topological_sort'}
I0716 17:59:02.019455 136905113048576 run.py:722] (val) algo topological_sort step 5450: {'topo': 0.515625, 'topo_head': 0.984375, 'score': 0.75, 'examples_seen': 103953, 'step': 5450, 'algorithm': 'topological_sort'}
I0716 17:59:03.382351 136905113048576 run.py:722] (val) algo topological_sort step 5500: {'topo': 0.4443359375, 'topo_head': 1.0, 'score': 0.72216796875, 'examples_seen': 104896, 'step': 5500, 'algorithm': 'topological_sort'}
I0716 17:59:04.760131 136905113048576 run.py:722] (val) algo topological_sort step 5550: {'topo': 0.4912109375, 'topo_head': 0.984375, 'score': 0.73779296875, 'examples_seen': 105884, 'step': 5550, 'algorithm': 'topological_sort'}
I0716 17:59:06.103494 136905113048576 run.py:722] (val) algo topological_sort step 5600: {'topo': 0.3740234375, 'topo_head': 1.0, 'score': 0.68701171875, 'examples_seen': 106844, 'step': 5600, 'algorithm': 'topological_sort'}
I0716 17:59:07.386189 136905113048576 run.py:722] (val) algo topological_sort step 5650: {'topo': 0.4443359375, 'topo_head': 1.0, 'score': 0.72216796875, 'examples_seen': 107793, 'step': 5650, 'algorithm': 'topological_sort'}
I0716 17:59:08.757769 136905113048576 run.py:722] (val) algo topological_sort step 5700: {'topo': 0.4462890625, 'topo_head': 0.984375, 'score': 0.71533203125, 'examples_seen': 108742, 'step': 5700, 'algorithm': 'topological_sort'}
I0716 17:59:10.080741 136905113048576 run.py:722] (val) algo topological_sort step 5750: {'topo': 0.3974609375, 'topo_head': 0.96875, 'score': 0.68310546875, 'examples_seen': 109692, 'step': 5750, 'algorithm': 'topological_sort'}
I0716 17:59:11.406387 136905113048576 run.py:722] (val) algo topological_sort step 5800: {'topo': 0.4267578125, 'topo_head': 1.0, 'score': 0.71337890625, 'examples_seen': 110635, 'step': 5800, 'algorithm': 'topological_sort'}
