I0716 16:11:29.536951 128490841785856 run.py:722] (val) algo mst_kruskal step 5300: {'in_mst': 0.7493020658849804, 'score': 0.7493020658849804, 'examples_seen': 438498, 'step': 5300, 'algorithm': 'mst_kruskal'}
I0716 16:11:32.644295 128490841785856 run.py:722] (val) algo mst_kruskal step 5350: {'in_mst': 0.8260646485377117, 'score': 0.8260646485377117, 'examples_seen': 442498, 'step': 5350, 'algorithm': 'mst_kruskal'}
I0716 16:11:36.246411 128490841785856 run.py:722] (val) algo mst_kruskal step 5400: {'in_mst': 0.6979472140762465, 'score': 0.6979472140762465, 'examples_seen': 446583, 'step': 5400, 'algorithm': 'mst_kruskal'}
I0716 16:11:39.571767 128490841785856 run.py:722] (val) algo mst_kruskal step 5450: {'in_mst': 0.7643097643097644, 'score': 0.7643097643097644, 'examples_seen': 450633, 'step': 5450, 'algorithm': 'mst_kruskal'}
I0716 16:11:42.797235 128490841785856 run.py:722] (val) algo mst_kruskal step 5500: {'in_mst': 0.734059097978227, 'score': 0.734059097978227, 'examples_seen': 454692, 'step': 5500, 'algorithm': 'mst_kruskal'}
I0716 16:11:46.134933 128490841785856 run.py:722] (val) algo mst_kruskal step 5550: {'in_mst': 0.7566433566433567, 'score': 0.7566433566433567, 'examples_seen': 458917, 'step': 5550, 'algorithm': 'mst_kruskal'}
I0716 16:11:49.599867 128490841785856 run.py:722] (val) algo mst_kruskal step 5600: {'in_mst': 0.7857142857142858, 'score': 0.7857142857142858, 'examples_seen': 463110, 'step': 5600, 'algorithm': 'mst_kruskal'}
I0716 16:11:52.789923 128490841785856 run.py:722] (val) algo mst_kruskal step 5650: {'in_mst': 0.7254901960784313, 'score': 0.7254901960784313, 'examples_seen': 467240, 'step': 5650, 'algorithm': 'mst_kruskal'}
I0716 16:11:55.973379 128490841785856 run.py:722] (val) algo mst_kruskal step 5700: {'in_mst': 0.7642928786359077, 'score': 0.7642928786359077, 'examples_seen': 471347, 'step': 5700, 'algorithm': 'mst_kruskal'}
I0716 16:11:59.326140 128490841785856 run.py:722] (val) algo mst_kruskal step 5750: {'in_mst': 0.6993166287015947, 'score': 0.6993166287015947, 'examples_seen': 475483, 'step': 5750, 'algorithm': 'mst_kruskal'}
I0716 16:12:02.538817 128490841785856 run.py:722] (val) algo mst_kruskal step 5800: {'in_mst': 0.709643605870021, 'score': 0.709643605870021, 'examples_seen': 479534, 'step': 5800, 'algorithm': 'mst_kruskal'}
I0716 16:12:05.832778 128490841785856 run.py:722] (val) algo mst_kruskal step 5850: {'in_mst': 0.7535515750463249, 'score': 0.7535515750463249, 'examples_seen': 483610, 'step': 5850, 'algorithm': 'mst_kruskal'}
I0716 16:12:08.987956 128490841785856 run.py:722] (val) algo mst_kruskal step 5900: {'in_mst': 0.82389289392379, 'score': 0.82389289392379, 'examples_seen': 487844, 'step': 5900, 'algorithm': 'mst_kruskal'}
I0716 16:12:12.289206 128490841785856 run.py:722] (val) algo mst_kruskal step 5950: {'in_mst': 0.7515605493133584, 'score': 0.7515605493133584, 'examples_seen': 492003, 'step': 5950, 'algorithm': 'mst_kruskal'}
I0716 16:12:15.626619 128490841785856 run.py:722] (val) algo mst_kruskal step 6000: {'in_mst': 0.7637947725072605, 'score': 0.7637947725072605, 'examples_seen': 496195, 'step': 6000, 'algorithm': 'mst_kruskal'}
I0716 16:12:18.930106 128490841785856 run.py:722] (val) algo mst_kruskal step 6050: {'in_mst': 0.8298945437872536, 'score': 0.8298945437872536, 'examples_seen': 500275, 'step': 6050, 'algorithm': 'mst_kruskal'}
I0716 16:12:22.331984 128490841785856 run.py:722] (val) algo mst_kruskal step 6100: {'in_mst': 0.8418079096045197, 'score': 0.8418079096045197, 'examples_seen': 504380, 'step': 6100, 'algorithm': 'mst_kruskal'}
I0716 16:12:25.658357 128490841785856 run.py:722] (val) algo mst_kruskal step 6150: {'in_mst': 0.7381333333333332, 'score': 0.7381333333333332, 'examples_seen': 508506, 'step': 6150, 'algorithm': 'mst_kruskal'}
I0716 16:12:28.931092 128490841785856 run.py:722] (val) algo mst_kruskal step 6200: {'in_mst': 0.7767175572519085, 'score': 0.7767175572519085, 'examples_seen': 512546, 'step': 6200, 'algorithm': 'mst_kruskal'}
