{'pred': 0.97265625, 'score': 0.97265625, 'examples_seen': 447552, 'step': 8700, 'algorithm': 'insertion_sort'}
{'pred': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 450160, 'step': 8750, 'algorithm': 'insertion_sort'}
{'pred': 0.9453125, 'score': 0.9453125, 'examples_seen': 452720, 'step': 8800, 'algorithm': 'insertion_sort'}
{'pred': 0.95703125, 'score': 0.95703125, 'examples_seen': 455296, 'step': 8850, 'algorithm': 'insertion_sort'}
{'pred': 0.96875, 'score': 0.96875, 'examples_seen': 457824, 'step': 8900, 'algorithm': 'insertion_sort'}
{'pred': 0.966796875, 'score': 0.966796875, 'examples_seen': 460368, 'step': 8950, 'algorithm': 'insertion_sort'}
{'pred': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 462928, 'step': 9000, 'algorithm': 'insertion_sort'}
{'pred': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 465552, 'step': 9050, 'algorithm': 'insertion_sort'}
{'pred': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 468176, 'step': 9100, 'algorithm': 'insertion_sort'}
{'pred': 0.955078125, 'score': 0.955078125, 'examples_seen': 470720, 'step': 9150, 'algorithm': 'insertion_sort'}
{'pred': 0.904296875, 'score': 0.904296875, 'examples_seen': 473296, 'step': 9200, 'algorithm': 'insertion_sort'}
{'pred': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 475856, 'step': 9250, 'algorithm': 'insertion_sort'}
{'pred': 0.986328125, 'score': 0.986328125, 'examples_seen': 478384, 'step': 9300, 'algorithm': 'insertion_sort'}
{'pred': 0.982421875, 'score': 0.982421875, 'examples_seen': 480912, 'step': 9350, 'algorithm': 'insertion_sort'}
{'pred': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 483568, 'step': 9400, 'algorithm': 'insertion_sort'}
{'pred': 0.962890625, 'score': 0.962890625, 'examples_seen': 486176, 'step': 9450, 'algorithm': 'insertion_sort'}
{'pred': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 488752, 'step': 9500, 'algorithm': 'insertion_sort'}
{'pred': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 491312, 'step': 9550, 'algorithm': 'insertion_sort'}
{'pred': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 493840, 'step': 9600, 'algorithm': 'insertion_sort'}
{'pred': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 496400, 'step': 9650, 'algorithm': 'insertion_sort'}
{'pred': 1.0, 'score': 1.0, 'examples_seen': 498928, 'step': 9700, 'algorithm': 'insertion_sort'}
{'pred': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 501552, 'step': 9750, 'algorithm': 'insertion_sort'}
{'pred': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 504176, 'step': 9800, 'algorithm': 'insertion_sort'}
{'pred': 0.892578125, 'score': 0.892578125, 'examples_seen': 506736, 'step': 9850, 'algorithm': 'insertion_sort'}
{'pred': 0.978515625, 'score': 0.978515625, 'examples_seen': 509312, 'step': 9900, 'algorithm': 'insertion_sort'}
{'pred': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 511840, 'step': 9950, 'algorithm': 'insertion_sort'}
