I0715 12:54:05.861225 137617489782272 run.py:723] (val) algo task_scheduling step 6000: {'selected': 0.9495412844036698, 'score': 0.9495412844036698, 'examples_seen': 238944, 'step': 6000, 'algorithm': 'task_scheduling'}
I0715 12:54:06.895452 137617489782272 run.py:723] (val) algo task_scheduling step 6050: {'selected': 0.9561933534743202, 'score': 0.9561933534743202, 'examples_seen': 240928, 'step': 6050, 'algorithm': 'task_scheduling'}
I0715 12:54:07.909651 137617489782272 run.py:723] (val) algo task_scheduling step 6100: {'selected': 0.9621698786581013, 'score': 0.9621698786581013, 'examples_seen': 242912, 'step': 6100, 'algorithm': 'task_scheduling'}
I0715 12:54:08.947762 137617489782272 run.py:723] (val) algo task_scheduling step 6150: {'selected': 0.9456366237482117, 'score': 0.9456366237482117, 'examples_seen': 244864, 'step': 6150, 'algorithm': 'task_scheduling'}
I0715 12:54:09.953183 137617489782272 run.py:723] (val) algo task_scheduling step 6200: {'selected': 0.9313801079414032, 'score': 0.9313801079414032, 'examples_seen': 246816, 'step': 6200, 'algorithm': 'task_scheduling'}
I0715 12:54:10.973141 137617489782272 run.py:723] (val) algo task_scheduling step 6250: {'selected': 0.9657228017883756, 'score': 0.9657228017883756, 'examples_seen': 248880, 'step': 6250, 'algorithm': 'task_scheduling'}
I0715 12:54:11.999999 137617489782272 run.py:723] (val) algo task_scheduling step 6300: {'selected': 0.9475197699496765, 'score': 0.9475197699496765, 'examples_seen': 250880, 'step': 6300, 'algorithm': 'task_scheduling'}
I0715 12:54:13.022016 137617489782272 run.py:723] (val) algo task_scheduling step 6350: {'selected': 0.9475197699496765, 'score': 0.9475197699496765, 'examples_seen': 252880, 'step': 6350, 'algorithm': 'task_scheduling'}
I0715 12:54:14.050079 137617489782272 run.py:723] (val) algo task_scheduling step 6400: {'selected': 0.9630188679245282, 'score': 0.9630188679245282, 'examples_seen': 254864, 'step': 6400, 'algorithm': 'task_scheduling'}
I0715 12:54:15.063806 137617489782272 run.py:723] (val) algo task_scheduling step 6450: {'selected': 0.9522388059701492, 'score': 0.9522388059701492, 'examples_seen': 256816, 'step': 6450, 'algorithm': 'task_scheduling'}
