I0715 08:53:56.869246 137093019534848 run.py:723] (val) algo dfs step 4600: {'pi': 0.5126953125, 'score': 0.5126953125, 'examples_seen': 78880, 'step': 4600, 'algorithm': 'dfs'}
I0715 08:53:58.188972 137093019534848 run.py:723] (val) algo dfs step 4650: {'pi': 0.466796875, 'score': 0.466796875, 'examples_seen': 79744, 'step': 4650, 'algorithm': 'dfs'}
I0715 08:53:59.506621 137093019534848 run.py:723] (val) algo dfs step 4700: {'pi': 0.5302734375, 'score': 0.5302734375, 'examples_seen': 80576, 'step': 4700, 'algorithm': 'dfs'}
I0715 08:54:00.891534 137093019534848 run.py:723] (val) algo dfs step 4750: {'pi': 0.5068359375, 'score': 0.5068359375, 'examples_seen': 81424, 'step': 4750, 'algorithm': 'dfs'}
I0715 08:54:02.272707 137093019534848 run.py:723] (val) algo dfs step 4800: {'pi': 0.4912109375, 'score': 0.4912109375, 'examples_seen': 82288, 'step': 4800, 'algorithm': 'dfs'}
I0715 08:54:03.635175 137093019534848 run.py:723] (val) algo dfs step 4850: {'pi': 0.56640625, 'score': 0.56640625, 'examples_seen': 83152, 'step': 4850, 'algorithm': 'dfs'}
I0715 08:54:05.007797 137093019534848 run.py:723] (val) algo dfs step 4900: {'pi': 0.494140625, 'score': 0.494140625, 'examples_seen': 84032, 'step': 4900, 'algorithm': 'dfs'}
I0715 08:54:06.331119 137093019534848 run.py:723] (val) algo dfs step 4950: {'pi': 0.494140625, 'score': 0.494140625, 'examples_seen': 84896, 'step': 4950, 'algorithm': 'dfs'}
I0715 08:54:07.665187 137093019534848 run.py:723] (val) algo dfs step 5000: {'pi': 0.509765625, 'score': 0.509765625, 'examples_seen': 85728, 'step': 5000, 'algorithm': 'dfs'}
I0715 08:54:09.018981 137093019534848 run.py:723] (val) algo dfs step 5050: {'pi': 0.568359375, 'score': 0.568359375, 'examples_seen': 86592, 'step': 5050, 'algorithm': 'dfs'}
I0715 08:54:10.409430 137093019534848 run.py:723] (val) algo dfs step 5100: {'pi': 0.4892578125, 'score': 0.4892578125, 'examples_seen': 87424, 'step': 5100, 'algorithm': 'dfs'}
I0715 08:54:11.792224 137093019534848 run.py:723] (val) algo dfs step 5150: {'pi': 0.5, 'score': 0.5, 'examples_seen': 88288, 'step': 5150, 'algorithm': 'dfs'}
I0715 08:54:13.141229 137093019534848 run.py:723] (val) algo dfs step 5200: {'pi': 0.4873046875, 'score': 0.4873046875, 'examples_seen': 89152, 'step': 5200, 'algorithm': 'dfs'}
I0715 08:54:14.500756 137093019534848 run.py:723] (val) algo dfs step 5250: {'pi': 0.4990234375, 'score': 0.4990234375, 'examples_seen': 90048, 'step': 5250, 'algorithm': 'dfs'}
I0715 08:54:15.817169 137093019534848 run.py:723] (val) algo dfs step 5300: {'pi': 0.4716796875, 'score': 0.4716796875, 'examples_seen': 90880, 'step': 5300, 'algorithm': 'dfs'}
I0715 08:54:17.160785 137093019534848 run.py:723] (val) algo dfs step 5350: {'pi': 0.5068359375, 'score': 0.5068359375, 'examples_seen': 91728, 'step': 5350, 'algorithm': 'dfs'}
I0715 08:54:18.522806 137093019534848 run.py:723] (val) algo dfs step 5400: {'pi': 0.5009765625, 'score': 0.5009765625, 'examples_seen': 92576, 'step': 5400, 'algorithm': 'dfs'}
I0715 08:54:19.880686 137093019534848 run.py:723] (val) algo dfs step 5450: {'pi': 0.5048828125, 'score': 0.5048828125, 'examples_seen': 93456, 'step': 5450, 'algorithm': 'dfs'}
I0715 08:54:21.248268 137093019534848 run.py:723] (val) algo dfs step 5500: {'pi': 0.4951171875, 'score': 0.4951171875, 'examples_seen': 94272, 'step': 5500, 'algorithm': 'dfs'}
I0715 08:54:22.637426 137093019534848 run.py:723] (val) algo dfs step 5550: {'pi': 0.462890625, 'score': 0.462890625, 'examples_seen': 95136, 'step': 5550, 'algorithm': 'dfs'}
I0715 08:54:24.007558 137093019534848 run.py:723] (val) algo dfs step 5600: {'pi': 0.46484375, 'score': 0.46484375, 'examples_seen': 96032, 'step': 5600, 'algorithm': 'dfs'}
I0715 08:54:25.345563 137093019534848 run.py:723] (val) algo dfs step 5650: {'pi': 0.572265625, 'score': 0.572265625, 'examples_seen': 96880, 'step': 5650, 'algorithm': 'dfs'}
I0715 08:54:26.668590 137093019534848 run.py:723] (val) algo dfs step 5700: {'pi': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 97744, 'step': 5700, 'algorithm': 'dfs'}
I0715 08:54:28.011005 137093019534848 run.py:723] (val) algo dfs step 5750: {'pi': 0.51953125, 'score': 0.51953125, 'examples_seen': 98608, 'step': 5750, 'algorithm': 'dfs'}
I0715 08:54:29.342544 137093019534848 run.py:723] (val) algo dfs step 5800: {'pi': 0.513671875, 'score': 0.513671875, 'examples_seen': 99440, 'step': 5800, 'algorithm': 'dfs'}
I0715 08:54:30.685359 137093019534848 run.py:723] (val) algo dfs step 5850: {'pi': 0.4853515625, 'score': 0.4853515625, 'examples_seen': 100288, 'step': 5850, 'algorithm': 'dfs'}
I0715 08:54:32.047428 137093019534848 run.py:723] (val) algo dfs step 5900: {'pi': 0.515625, 'score': 0.515625, 'examples_seen': 101184, 'step': 5900, 'algorithm': 'dfs'}
I0715 08:54:33.365752 137093019534848 run.py:723] (val) algo dfs step 5950: {'pi': 0.498046875, 'score': 0.498046875, 'examples_seen': 102032, 'step': 5950, 'algorithm': 'dfs'}
I0715 08:54:34.687000 137093019534848 run.py:723] (val) algo dfs step 6000: {'pi': 0.46875, 'score': 0.46875, 'examples_seen': 102912, 'step': 6000, 'algorithm': 'dfs'}
I0715 08:54:36.028563 137093019534848 run.py:723] (val) algo dfs step 6050: {'pi': 0.4765625, 'score': 0.4765625, 'examples_seen': 103728, 'step': 6050, 'algorithm': 'dfs'}
I0715 08:54:37.388970 137093019534848 run.py:723] (val) algo dfs step 6100: {'pi': 0.5166015625, 'score': 0.5166015625, 'examples_seen': 104608, 'step': 6100, 'algorithm': 'dfs'}
I0715 08:54:38.710006 137093019534848 run.py:723] (val) algo dfs step 6150: {'pi': 0.5087890625, 'score': 0.5087890625, 'examples_seen': 105440, 'step': 6150, 'algorithm': 'dfs'}
I0715 08:54:40.119978 137093019534848 run.py:723] (val) algo dfs step 6200: {'pi': 0.5009765625, 'score': 0.5009765625, 'examples_seen': 106272, 'step': 6200, 'algorithm': 'dfs'}
I0715 08:54:41.497125 137093019534848 run.py:723] (val) algo dfs step 6250: {'pi': 0.486328125, 'score': 0.486328125, 'examples_seen': 107168, 'step': 6250, 'algorithm': 'dfs'}
