{'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 281436, 'step': 9500, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 282921, 'step': 9550, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 284404, 'step': 9600, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 285860, 'step': 9650, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 287314, 'step': 9700, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 288827, 'step': 9750, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 290348, 'step': 9800, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.96875, 'score': 0.96875, 'examples_seen': 291819, 'step': 9850, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 293285, 'step': 9900, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 294728, 'step': 9950, 'algorithm': 'dag_shortest_paths'}
