{'selected': 0.970873786407767, 'score': 0.970873786407767, 'examples_seen': 348432, 'step': 8750, 'algorithm': 'activity_selector'}
{'selected': 0.9693251533742331, 'score': 0.9693251533742331, 'examples_seen': 350416, 'step': 8800, 'algorithm': 'activity_selector'}
{'selected': 0.9808429118773947, 'score': 0.9808429118773947, 'examples_seen': 352400, 'step': 8850, 'algorithm': 'activity_selector'}
{'selected': 0.9552238805970148, 'score': 0.9552238805970148, 'examples_seen': 354368, 'step': 8900, 'algorithm': 'activity_selector'}
{'selected': 0.9540229885057471, 'score': 0.9540229885057471, 'examples_seen': 356320, 'step': 8950, 'algorithm': 'activity_selector'}
{'selected': 0.99609375, 'score': 0.99609375, 'examples_seen': 358320, 'step': 9000, 'algorithm': 'activity_selector'}
{'selected': 0.9402985074626865, 'score': 0.9402985074626865, 'examples_seen': 360320, 'step': 9050, 'algorithm': 'activity_selector'}
{'selected': 0.9443298969072165, 'score': 0.9443298969072165, 'examples_seen': 362352, 'step': 9100, 'algorithm': 'activity_selector'}
{'selected': 0.9565217391304348, 'score': 0.9565217391304348, 'examples_seen': 364352, 'step': 9150, 'algorithm': 'activity_selector'}
{'selected': 0.9760956175298804, 'score': 0.9760956175298804, 'examples_seen': 366320, 'step': 9200, 'algorithm': 'activity_selector'}
{'selected': 0.9900199600798404, 'score': 0.9900199600798404, 'examples_seen': 368320, 'step': 9250, 'algorithm': 'activity_selector'}
{'selected': 0.9575289575289575, 'score': 0.9575289575289575, 'examples_seen': 370272, 'step': 9300, 'algorithm': 'activity_selector'}
{'selected': 0.9600000000000001, 'score': 0.9600000000000001, 'examples_seen': 372240, 'step': 9350, 'algorithm': 'activity_selector'}
{'selected': 0.9606299212598426, 'score': 0.9606299212598426, 'examples_seen': 374288, 'step': 9400, 'algorithm': 'activity_selector'}
{'selected': 0.9671179883945842, 'score': 0.9671179883945842, 'examples_seen': 376288, 'step': 9450, 'algorithm': 'activity_selector'}
{'selected': 0.9566854990583804, 'score': 0.9566854990583804, 'examples_seen': 378304, 'step': 9500, 'algorithm': 'activity_selector'}
{'selected': 0.928030303030303, 'score': 0.928030303030303, 'examples_seen': 380272, 'step': 9550, 'algorithm': 'activity_selector'}
{'selected': 0.9656488549618321, 'score': 0.9656488549618321, 'examples_seen': 382240, 'step': 9600, 'algorithm': 'activity_selector'}
{'selected': 0.9657794676806084, 'score': 0.9657794676806084, 'examples_seen': 384224, 'step': 9650, 'algorithm': 'activity_selector'}
{'selected': 0.9316770186335405, 'score': 0.9316770186335405, 'examples_seen': 386176, 'step': 9700, 'algorithm': 'activity_selector'}
{'selected': 0.9757009345794392, 'score': 0.9757009345794392, 'examples_seen': 388224, 'step': 9750, 'algorithm': 'activity_selector'}
{'selected': 0.9632495164410056, 'score': 0.9632495164410056, 'examples_seen': 390240, 'step': 9800, 'algorithm': 'activity_selector'}
{'selected': 0.97265625, 'score': 0.97265625, 'examples_seen': 392224, 'step': 9850, 'algorithm': 'activity_selector'}
{'selected': 0.9714285714285714, 'score': 0.9714285714285714, 'examples_seen': 394208, 'step': 9900, 'algorithm': 'activity_selector'}
{'selected': 0.9641434262948209, 'score': 0.9641434262948209, 'examples_seen': 396176, 'step': 9950, 'algorithm': 'activity_selector'}
