{'pred': 0.7060546875, 'score': 0.7060546875, 'examples_seen': 228400, 'step': 6750, 'algorithm': 'bubble_sort'}
{'pred': 0.8076171875, 'score': 0.8076171875, 'examples_seen': 230064, 'step': 6800, 'algorithm': 'bubble_sort'}
{'pred': 0.736328125, 'score': 0.736328125, 'examples_seen': 231728, 'step': 6850, 'algorithm': 'bubble_sort'}
{'pred': 0.7724609375, 'score': 0.7724609375, 'examples_seen': 233376, 'step': 6900, 'algorithm': 'bubble_sort'}
{'pred': 0.8017578125, 'score': 0.8017578125, 'examples_seen': 235168, 'step': 6950, 'algorithm': 'bubble_sort'}
{'pred': 0.7548828125, 'score': 0.7548828125, 'examples_seen': 236912, 'step': 7000, 'algorithm': 'bubble_sort'}
{'pred': 0.716796875, 'score': 0.716796875, 'examples_seen': 238592, 'step': 7050, 'algorithm': 'bubble_sort'}
{'pred': 0.783203125, 'score': 0.783203125, 'examples_seen': 240240, 'step': 7100, 'algorithm': 'bubble_sort'}
{'pred': 0.810546875, 'score': 0.810546875, 'examples_seen': 241920, 'step': 7150, 'algorithm': 'bubble_sort'}
{'pred': 0.8251953125, 'score': 0.8251953125, 'examples_seen': 243584, 'step': 7200, 'algorithm': 'bubble_sort'}
{'pred': 0.7119140625, 'score': 0.7119140625, 'examples_seen': 245248, 'step': 7250, 'algorithm': 'bubble_sort'}
{'pred': 0.7353515625, 'score': 0.7353515625, 'examples_seen': 247024, 'step': 7300, 'algorithm': 'bubble_sort'}
{'pred': 0.7783203125, 'score': 0.7783203125, 'examples_seen': 248720, 'step': 7350, 'algorithm': 'bubble_sort'}
{'pred': 0.791015625, 'score': 0.791015625, 'examples_seen': 250416, 'step': 7400, 'algorithm': 'bubble_sort'}
{'pred': 0.751953125, 'score': 0.751953125, 'examples_seen': 252080, 'step': 7450, 'algorithm': 'bubble_sort'}
{'pred': 0.7060546875, 'score': 0.7060546875, 'examples_seen': 253744, 'step': 7500, 'algorithm': 'bubble_sort'}
{'pred': 0.7685546875, 'score': 0.7685546875, 'examples_seen': 255392, 'step': 7550, 'algorithm': 'bubble_sort'}
{'pred': 0.8310546875, 'score': 0.8310546875, 'examples_seen': 257072, 'step': 7600, 'algorithm': 'bubble_sort'}
{'pred': 0.712890625, 'score': 0.712890625, 'examples_seen': 258848, 'step': 7650, 'algorithm': 'bubble_sort'}
{'pred': 0.767578125, 'score': 0.767578125, 'examples_seen': 260560, 'step': 7700, 'algorithm': 'bubble_sort'}
{'pred': 0.716796875, 'score': 0.716796875, 'examples_seen': 262256, 'step': 7750, 'algorithm': 'bubble_sort'}
{'pred': 0.751953125, 'score': 0.751953125, 'examples_seen': 263920, 'step': 7800, 'algorithm': 'bubble_sort'}
{'pred': 0.8271484375, 'score': 0.8271484375, 'examples_seen': 265584, 'step': 7850, 'algorithm': 'bubble_sort'}
{'pred': 0.845703125, 'score': 0.845703125, 'examples_seen': 267232, 'step': 7900, 'algorithm': 'bubble_sort'}
{'pred': 0.833984375, 'score': 0.833984375, 'examples_seen': 268896, 'step': 7950, 'algorithm': 'bubble_sort'}
{'pred': 0.7705078125, 'score': 0.7705078125, 'examples_seen': 270704, 'step': 8000, 'algorithm': 'bubble_sort'}
{'pred': 0.806640625, 'score': 0.806640625, 'examples_seen': 272432, 'step': 8050, 'algorithm': 'bubble_sort'}
{'pred': 0.8203125, 'score': 0.8203125, 'examples_seen': 274096, 'step': 8100, 'algorithm': 'bubble_sort'}
{'pred': 0.87109375, 'score': 0.87109375, 'examples_seen': 275776, 'step': 8150, 'algorithm': 'bubble_sort'}
{'pred': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 277440, 'step': 8200, 'algorithm': 'bubble_sort'}
{'pred': 0.81640625, 'score': 0.81640625, 'examples_seen': 279088, 'step': 8250, 'algorithm': 'bubble_sort'}
{'pred': 0.8203125, 'score': 0.8203125, 'examples_seen': 280752, 'step': 8300, 'algorithm': 'bubble_sort'}
